City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
96,Longyearbyen,78.22,15.64,37.4,74,40,18.34,SJ,2020-11-06 01:13:13
97,Puerto Ayora,-0.74,-90.35,70.0,77,86,10.0,EC,2020-11-06 01:13:13
98,Port Alfred,-33.59,26.89,66.51,79,61,9.4,ZA,2020-11-06 01:13:13
99,Shiyan,32.65,110.78,60.69,63,3,6.44,CN,2020-11-06 01:13:13
100,Olafsvik,64.89,-23.71,40.33,69,90,44.94,IS,2020-11-06 01:13:13
101,Ryotsu,38.08,138.43,53.6,81,75,8.05,JP,2020-11-06 01:13:13
102,Livingston,55.9,-3.52,48.99,93,90,4.7,GB,2020-11-06 01:13:13
103,Georgetown,5.41,100.34,80.6,88,20,2.24,MY,2020-11-06 01:13:13
104,Sinaloa,25.0,-107.5,91.4,43,5,6.93,MX,2020-11-06 01:12:03
105,East London,-33.02,27.91,69.58,77,36,6.93,ZA,2020-11-06 01:13:13
106,Aykhal,66.0,111.5,-2.2,84,75,6.71,RU,2020-11-06 01:13:14
107,Coruripe,-10.13,-36.18,76.96,86,0,11.5,BR,2020-11-06 01:08:32
108,Ukiah,39.15,-123.21,82.4,26,1,3.36,US,2020-11-06 01:13:14
109,Tasiilaq,65.61,-37.64,30.2,63,86,9.17,GL,2020-11-06 01:13:14
110,Batetskiy,58.65,30.3,43.25,75,12,11.14,RU,2020-11-06 01:13:14
111,Carutapera,-1.2,-46.02,80.46,76,100,8.95,BR,2020-11-06 01:13:14
112,Gorontalo,0.54,123.06,88.41,58,82,1.88,ID,2020-11-06 01:13:14
113,Coolum Beach,-26.53,153.1,78.01,42,0,5.99,AU,2020-11-06 01:13:14
114,Riyadh,24.69,46.72,59.0,47,0,7.45,SA,2020-11-06 01:10:05
115,La Ronge,55.1,-105.28,15.8,85,100,9.17,CA,2020-11-06 01:13:15
116,Axim,4.87,-2.24,79.2,87,78,5.41,GH,2020-11-06 01:13:15
117,Udachnyy,66.42,112.4,-2.2,84,75,6.71,RU,2020-11-06 01:13:15
118,Honningsvag,70.98,25.97,44.19,80,98,27.0,NO,2020-11-06 01:13:15
119,Turukhansk,65.82,87.98,-4.02,86,0,6.24,RU,2020-11-06 01:13:15
120,Airai,-8.93,125.41,78.15,43,47,3.78,TL,2020-11-06 01:13:15
121,Eregli,37.51,34.05,48.6,81,62,1.88,TR,2020-11-06 01:13:15
122,Tautira,-17.73,-149.15,75.2,83,75,18.34,PF,2020-11-06 01:13:15
123,Provideniya,64.38,-173.3,41.0,80,90,33.55,RU,2020-11-06 01:13:15
124,Tuatapere,-46.13,167.68,57.15,46,0,5.68,NZ,2020-11-06 01:13:15
125,Narsaq,60.92,-46.05,14.0,47,0,6.93,GL,2020-11-06 01:13:15
126,Erenhot,43.65,111.98,35.42,60,0,23.98,CN,2020-11-06 01:13:15
127,Palauig,15.44,119.9,83.17,70,100,2.55,PH,2020-11-06 01:13:15
128,Alofi,-19.06,-169.92,78.8,65,75,17.22,NU,2020-11-06 01:13:15
129,Hurghada,27.26,33.81,69.8,49,0,6.93,EG,2020-11-06 01:13:15
