City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
292,Mount Isa,-20.73,139.5,75.2,78,0,11.41,clear sky
293,Jiuquan,39.74,98.52,31.46,78,0,3.18,clear sky
294,Kirakira,-10.45,161.92,82.58,78,100,4.65,light rain
295,Salta,-24.79,-65.41,78.8,54,75,11.41,broken clouds
296,Oda,35.18,132.5,52.3,69,0,5.46,clear sky
297,Omboue,-1.57,9.26,77.65,90,100,4.76,light rain
298,Piacabucu,-10.41,-36.43,78.49,76,0,11.21,clear sky
299,Tevaitoa,-16.78,-151.5,79.95,77,67,11.3,light rain
300,Oriximina,-1.77,-55.87,93.38,42,28,6.38,scattered clouds
301,Sao Filipe,14.9,-24.5,80.96,67,0,3.27,clear sky
302,Sancti Spiritus,21.93,-79.44,82.8,78,79,5.26,broken clouds
303,Suhut,38.53,30.55,44.06,64,0,1.72,clear sky
304,Surt,31.21,16.59,68.94,75,16,9.37,light rain
305,Celestun,20.87,-90.4,82.04,77,100,7.81,overcast clouds
306,Morehead,37.27,-87.18,59.0,30,1,6.93,clear sky
307,Sao Joao Da Barra,-21.64,-41.05,80.6,74,75,11.41,broken clouds
308,Kazachinskoye,57.7,93.28,26.65,97,100,8.95,snow
309,Maniitsoq,65.42,-52.9,24.75,96,99,11.21,snow
310,Eyl,7.98,49.82,77.59,77,100,16.35,overcast clouds
311,Katsuura,35.13,140.3,54.0,58,75,9.17,broken clouds
312,Kallaste,58.66,27.16,39.2,86,90,5.82,overcast clouds
313,Mikuni,36.22,136.15,42.8,100,40,2.24,scattered clouds
314,Chuy,-33.7,-53.46,68.32,80,5,12.8,clear sky
315,Pangai,-19.8,-174.35,78.8,88,75,17.22,broken clouds
316,Karratha,-20.74,116.85,73.74,31,0,10.16,light rain
317,Seydi,39.48,62.91,33.84,79,0,7.54,clear sky
318,Provideniya,64.38,-173.3,32.0,96,90,15.66,light snow
319,Tabuk,17.42,121.44,73.33,91,100,2.08,heavy intensity rain
320,Namatanai,-3.67,152.43,79.84,79,93,0.89,overcast clouds
321,Ikwiriri,-7.96,38.97,74.12,96,100,3.02,overcast clouds
322,Yar-Sale,66.83,70.83,0.48,93,96,8.5,overcast clouds
323,Warri,5.52,5.75,78.67,88,59,2.62,broken clouds
324,Vanimo,-2.67,141.3,76.73,80,76,3.74,broken clouds
325,Vanavara,60.34,102.28,19.44,96,93,8.9,overcast clouds
326,Sortavala,61.71,30.69,40.32,93,93,6.2,overcast clouds
327,Ongandjera,-17.88,15.07,78.19,48,100,5.57,light rain
328,Anadyr,64.75,177.48,19.4,92,40,11.18,light snow
329,Khandyga,62.67,135.6,2.98,92,100,2.37,overcast clouds
330,Havelock,34.88,-76.9,64.4,100,90,25.28,heavy intensity rain
331,Gavle,60.67,17.14,41.0,89,100,1.99,overcast clouds
332,Bend,44.06,-121.32,37.99,64,1,4.7,clear sky
333,Boende,-0.22,20.87,76.24,74,100,1.01,overcast clouds
334,Buraydah,26.33,43.98,71.6,88,40,13.87,scattered clouds
335,Tiarei,-17.53,-149.33,82.4,74,75,14.99,broken clouds
336,Axim,4.87,-2.24,79.52,84,7,6.31,clear sky
337,Kamaishi,39.27,141.88,45.77,76,0,6.17,clear sky
338,Mardin,37.31,40.74,54.14,42,0,7.43,clear sky
339,Shimoda,34.67,138.95,48.0,88,39,11.56,scattered clouds
340,Aksu,41.12,80.26,36.41,59,97,0.56,overcast clouds
341,Puerto Escondido,15.85,-97.07,86.0,66,40,11.41,scattered clouds
342,San Borja,-14.82,-66.85,95.0,50,75,6.93,shower rain
343,Poum,-20.23,164.02,76.37,77,55,16.4,light rain
344,Ahipara,-35.17,173.17,62.17,70,1,2.95,clear sky
345,Ponta Delgada,37.73,-25.67,57.2,76,20,5.82,few clouds
346,Harper,4.38,-7.72,78.37,87,100,6.62,moderate rain
347,Taybad,34.74,60.78,42.6,87,100,11.59,overcast clouds
348,Sangar,63.92,127.47,5.38,94,100,10.89,overcast clouds
349,Shebunino,46.43,141.86,51.37,83,100,22.5,moderate rain
350,Lagoa,39.05,-27.98,63.12,81,0,12.01,clear sky
351,Basco,20.45,121.97,78.39,87,100,21.16,heavy intensity rain
352,Sonoita,31.85,-112.83,70.0,16,100,1.77,overcast clouds
353,Russell,32.35,-85.2,78.8,61,1,11.41,clear sky
354,Kahului,20.89,-156.47,80.6,61,40,17.22,scattered clouds
355,Karwar,14.8,74.13,78.3,77,3,5.5,clear sky
356,Beringovskiy,63.05,179.32,19.72,96,100,15.57,light snow
357,Mayo,38.89,-76.51,55.99,93,90,14.99,overcast clouds
358,Altay,47.87,88.12,41.13,62,100,7.43,overcast clouds
359,Lai,9.4,16.3,81.03,32,44,3.0,scattered clouds
360,Champoton,19.35,-90.72,84.2,70,20,5.82,few clouds
361,Chegdomyn,51.12,133.02,26.31,98,100,2.57,light snow
362,Ladson,32.99,-80.11,77.0,88,90,5.82,moderate rain
363,Lorengau,-2.02,147.27,82.4,71,99,5.35,overcast clouds
364,Cristalina,-16.77,-47.61,77.11,65,18,2.04,moderate rain
365,Makakilo City,21.35,-158.09,80.6,61,75,9.17,broken clouds
366,Filingue,14.35,3.32,82.35,17,99,5.91,overcast clouds
367,Oga,46.46,10.35,37.99,73,0,2.24,clear sky
368,Bilibino,68.05,166.44,2.25,89,100,5.08,overcast clouds
369,Kuala Terengganu,5.33,103.14,77.0,100,20,2.1,few clouds
